table1,exp1,table2,exp2,table3,exp3,timestamp
,,,,,,
RELIANCE,2024-10-31,VEDL,2024-10-31,INFY,2024-10-31,2024-10-09 15:31:05.321960
RELIANCE,31-10-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-09 15:55:54.741797
RELIANCE,31-10-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-09 16:09:31.856277
GAIL,31-10-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-09 16:14:26.329826
GAIL,31-10-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-09 16:14:31.021896
GAIL,31-10-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-09 16:14:34.851051
GAIL,31-10-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-09 16:22:57.179206
GAIL,31-10-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-09 16:24:06.750357
GAIL,31-10-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-09 16:24:19.807012
RELIANCE,31-10-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-09 16:24:23.440422
RELIANCE,31-10-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-09 16:25:49.047081
ABB,28-11-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-09 16:25:52.177815
RELIANCE,28-11-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-09 16:26:06.851333
ABB,28-11-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-09 16:26:12.560267
ABB,31-10-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-10 10:59:25.858078
ABB,31-10-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-10 11:18:55.059632
ABB,31-10-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-10 11:22:04.043116
ABB,31-10-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-10 11:25:05.629614
ABB,31-10-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-10 11:38:18.965577
ABB,31-10-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-10 12:00:35.882896
ABB,28-11-2024,VEDL,28-11-2024,INFY,28-11-2024,2024-11-04 15:10:26.368938
